Subj.Trial,A,B,C,D,E,Rating
0,0,0.460123648,0.428571429,0.468178002,0.463414634,0
1,0,0.498608964,0.571428571,0.469353484,0.512195122,0
2,1,0.535394127,0.628571429,0.385390428,0.463414634,1
3,1,0.607882535,0.828571429,0.36372796,0.585365854,1
4,1,0.551004637,0.6,0.398488665,0.365853659,1
5,0,0.317928903,0.2,0.291351805,0.048780488,0
6,1,0.477743431,0.428571429,0.490680101,0.268292683,1
7,0,0.348222566,0.257142857,0.252896725,0.12195122,0
8,0,0.340185471,0.2,0.330982368,0.097560976,0
9,0,0.46862442,0.628571429,0.308480269,0.292682927,0
10,0,0.398763524,0.342857143,0.297900924,0.195121951,0
11,0,0.519319938,0.514285714,0.251217464,0.341463415,0
12,0,0.263060278,0.171428571,0.182871537,0.12195122,0
13,1,0.73755796,0.857142857,0.338874895,0.56097561,1
14,0,0.437248841,0.428571429,0.378337531,0.390243902,0
15,1,0.653323029,0.714285714,0.34256927,0.585365854,1
16,1,0.44064915,0.428571429,0.412930311,0.170731707,1
17,0,0.436012365,0.542857143,0.329135181,0.146341463,0
18,1,0.582689335,0.742857143,0.364903442,0.43902439,1
19,0,0.425811437,0.428571429,0.29806885,0.292682927,0
20,1,0.39690881,0.4,0.342401343,0.243902439,1
21,1,0.429829985,0.428571429,0.357850546,0.292682927,1
22,0,0.412828439,0.371428571,0.3736356,0.243902439,0
23,1,0.497217929,0.6,0.382367758,0.292682927,1
24,1,0.511128284,0.6,0.328463476,0.487804878,1
25,1,0.741576507,0.742857143,0.269017632,0.43902439,1
26,1,0.476816074,0.485714286,0.308648195,0.292682927,1
27,1,0.458578053,0.485714286,0.27170445,0.243902439,1
28,0,0.483771252,0.571428571,0.27472712,0.317073171,0
29,0,0.578670788,0.685714286,0.37665827,0.463414634,0
30,1,0.48748068,0.628571429,0.236439966,0.317073171,1
31,1,0.497990726,0.514285714,0.328799328,0.317073171,1
32,1,0.485935085,0.514285714,0.275062972,0.414634146,1
33,1,0.55950541,0.685714286,0.306968934,0.56097561,1
34,0,0.394281298,0.257142857,0.267002519,0.146341463,0
35,1,0.408346213,0.457142857,0.422502099,0.268292683,1
36,1,0.564914992,0.6,0.3434089,0.414634146,1
37,1,0.50324575,0.571428571,0.347271201,0.317073171,1
38,0.15,0.429057187,0.514285714,0.413098237,0.317073171,0
39,1,0.559659969,0.657142857,0.332829555,0.365853659,1
40,1,0.335394127,0.285714286,0.51099916,0.341463415,1
41,0,0.44374034,0.428571429,0.337195634,0.243902439,0
42,1,0.648377125,0.771428571,0.260285474,0.56097561,1
43,0,0.482998454,0.542857143,0.289336692,0.56097561,0
44,0,0.471406491,0.514285714,0.376994123,0.268292683,0
45,1,0.363369397,0.257142857,0.392779177,0.365853659,1
46,0,0.534621329,0.657142857,0.462300588,0.634146341,0
47,0,0.32194745,0.314285714,0.328967254,0,0
48,0,0.336939722,0.342857143,0.304617968,0.536585366,0
49,1,0.588098918,0.6,0.354827876,0.512195122,1
50,1,0.629366306,0.685714286,0.318723762,0.43902439,1
51,0,0.306955178,0.342857143,0.368933669,0.292682927,0
52,1,0.622256569,0.685714286,0.354156171,0.512195122,1
53,1,0.489953632,0.571428571,0.341897565,0.414634146,1
54,0,0.408500773,0.371428571,0.393115029,0.195121951,0
55,0,0.495054096,0.6,0.31922754,0.463414634,0
56,1,0.560278207,0.657142857,0.390428212,0.390243902,1
57,0,0.416383308,0.457142857,0.380520571,0.317073171,0
58,0,0.477434312,0.428571429,0.290344249,0.43902439,0
59,0,0.580680062,0.657142857,0.321746432,0.487804878,0
60,0,0.499227202,0.571428571,0.33131822,0.365853659,0
61,0.27,0.49675425,0.571428571,0.314693535,0.317073171,1
62,0,0.484544049,0.428571429,0.319563392,0.292682927,0
63,0.91,0.485316847,0.571428571,0.301427372,0.317073171,0
64,1,0.529984544,0.6,0.348446683,0.463414634,1
65,1,0.554404946,0.657142857,0.342233417,0.390243902,1
66,0.28,0.522102009,0.628571429,0.407724601,0.463414634,0
67,0,0.453941267,0.485714286,0.348446683,0.414634146,0
68,1,0.517928903,0.6,0.363224181,0.341463415,1
69,1,0.474652241,0.6,0.266330814,0.365853659,0
70,1,0.537867079,0.685714286,0.323761545,0.414634146,0
71,0.31,0.489180835,0.6,0.417800168,0.365853659,0
72,1,0.585625966,0.771428571,0.317716205,0.487804878,0
73,0,0.533230294,0.628571429,0.423845508,0.414634146,1
74,0,0.476970634,0.514285714,0.349286314,0.341463415,0
75,1,0.535394127,0.571428571,0.330982368,0.365853659,1
76,0,0.483462133,0.571428571,0.370948783,0.390243902,0
77,0,0.454714065,0.514285714,0.301427372,0.268292683,0
78,0.55,0.514992272,0.571428571,0.373299748,0.390243902,0
79,0,0.580370943,0.714285714,0.493534845,0.414634146,0
80,1,0.582689335,0.742857143,0.362384551,0.463414634,1
81,1,0.456723338,0.657142857,0.330982368,0.43902439,1
82,0,0.485007728,0.571428571,0.346767422,0.365853659,0
83,1,0.572179289,0.685714286,0.313853904,0.414634146,1
84,1,0.529520866,0.628571429,0.37279597,0.390243902,1
85,0,0.441267388,0.542857143,0.279764903,0.317073171,0
86,0,0.441267388,0.485714286,0.371620487,0.317073171,0
87,0,0.469397218,0.542857143,0.332157851,0.317073171,0
88,0,0.498608964,0.571428571,0.361376994,0.317073171,0
89,1,0.521638331,0.6,0.319059614,0.341463415,1
90,0,0.502472952,0.485714286,0.363560034,0.317073171,0
91,1,0.544822257,0.657142857,0.304282116,0.390243902,1
92,1,0.461514683,0.628571429,0.362720403,0.365853659,0
93,1,0.514219474,0.6,0.357010915,0.414634146,1
94,0.23,0.519474498,0.6,0.402686818,0.390243902,1
95,0.31,0.549304482,0.571428571,0.450377834,0.365853659,0
96,0.83,0.518392581,0.571428571,0.392779177,0.365853659,0
97,1,0.569706337,0.628571429,0.347607053,0.365853659,1
98,1,0.596290572,0.742857143,0.374139379,0.414634146,1
99,0,0.485471406,0.6,0.365407221,0.414634146,1
100,0,0.5812983,0.714285714,0.456087322,0.463414634,1
101,0.55,0.537867079,0.628571429,0.313014274,0.365853659,1
102,1,0.573879444,0.714285714,0.318387909,0.43902439,1
103,0,0.470324575,0.542857143,0.339378673,0.43902439,0
104,0,0.547140649,0.628571429,0.433753149,0.390243902,0
105,1,0.548222566,0.657142857,0.30495382,0.43902439,1
106,0,0.455177743,0.542857143,0.357010915,0.341463415,0
107,1,0.581452859,0.685714286,0.336020151,0.43902439,1
108,0,0.455023184,0.457142857,0.412930311,0.317073171,0
109,0,0.50633694,0.571428571,0.344416457,0.390243902,1
110,0,0.421638331,0.571428571,0.333501259,0.390243902,0
111,0,0.465224111,0.571428571,0.36372796,0.390243902,0
112,0,0.477434312,0.542857143,0.270361041,0.341463415,0
113,1,0.581916538,0.657142857,0.364735516,0.487804878,1
114,1,0.592117465,0.657142857,0.312006717,0.414634146,1
115,1,0.582071097,0.685714286,0.35852225,0.487804878,1
116,1,0.567387944,0.657142857,0.332829555,0.414634146,1
117,0,0.513446677,0.571428571,0.354324097,0.365853659,1
118,1,0.528438949,0.542857143,0.370109152,0.390243902,1
119,0,0.500772798,0.571428571,0.362216625,0.390243902,0
120,1,0.661823802,0.742857143,0.237279597,0.512195122,1
121,0,0.511282844,0.571428571,0.362384551,0.341463415,0
122,0,0.577588872,0.714285714,0.418639798,0.512195122,1
123,0,0.442349304,0.514285714,0.325104954,0.243902439,0
124,0.61,0.576506955,0.628571429,0.482451721,0.390243902,1
125,1,0.652241113,0.742857143,0.395969773,0.487804878,1
126,0,0.379443586,0.485714286,0.250041982,0.292682927,0
127,1,0.614064915,0.771428571,0.357010915,0.487804878,1
128,0,0.601081917,0.714285714,0.352980688,0.512195122,0
129,1,0.513292117,0.657142857,0.341393787,0.43902439,1
130,1,0.566151468,0.657142857,0.397313182,0.487804878,1
131,1,0.47202473,0.514285714,0.294206549,0.390243902,1
132,0,0.45301391,0.6,0.345256087,0.536585366,0
133,1,0.533230294,0.685714286,0.442149454,0.463414634,1
134,0.67,0.501081917,0.571428571,0.419143577,0.365853659,0
135,1,0.563523957,0.685714286,0.385558354,0.219512195,1
136,1,0.638948995,0.685714286,0.398488665,0.414634146,1
137,1,0.507264297,0.571428571,0.392443325,0.317073171,1
138,1,0.484080371,0.514285714,0.353484467,0.390243902,0
139,0,0.477125193,0.6,0.426532326,0.390243902,0
140,0,0.467078825,0.457142857,0.363392107,0.292682927,0
141,1,0.648222566,0.742857143,0.442653233,0.414634146,1
142,0,0.516228748,0.571428571,0.350461797,0.268292683,0
143,0.07,0.470479134,0.457142857,0.398992443,0.317073171,0
144,1,0.540340031,0.571428571,0.399328296,0.414634146,1
145,0,0.761823802,0.885714286,0.482115869,0.634146341,1
146,0,0.486862442,0.514285714,0.12829555,0.463414634,0
147,1,0.292426584,0.228571429,0.339042821,0.268292683,0
148,1,0.479907264,0.485714286,0.493198992,0.268292683,1
149,1,0.503554869,0.514285714,0.43240974,0.341463415,1
150,0.93,0.465069552,0.542857143,0.21813602,0.341463415,0
151,1,0.436630603,0.428571429,0.324433249,0.341463415,1
152,1,0.589335394,0.657142857,0.305289673,0.43902439,0
153,0.83,0.592890263,0.742857143,0.435264484,0.365853659,1
154,0,0.206955178,0.142857143,0.372460118,0.219512195,0
155,0,0.541731066,0.6,0.366918556,0.317073171,1
156,1,0.417465224,0.485714286,0.549958018,0.268292683,1
157,0,0.520710974,0.6,0.287993283,0.390243902,0
158,0,0.467387944,0.457142857,0.357010915,0.243902439,0
159,0,0.548531685,0.657142857,0.425356843,0.365853659,0
160,1,0.7374034,0.885714286,0.423005877,0.487804878,1
161,1,0.709891808,0.885714286,0.349286314,0.585365854,1
162,1,0.406800618,0.457142857,0.491351805,0.219512195,1
163,1,0.669397218,0.828571429,0.360033585,0.487804878,1
164,0,0.56862442,0.657142857,0.348950462,0.414634146,0
165,1,0.514837713,0.657142857,0.363895886,0.390243902,1
166,1,0.45935085,0.514285714,0.266162888,0.317073171,1
167,0,0.601391036,0.6,0.31922754,0.365853659,0
168,1,0.704327666,0.885714286,0.324265323,0.585365854,1
169,1,0.60309119,0.742857143,0.372124265,0.414634146,1
170,0,0.563987635,0.6,0.404534005,0.365853659,0
171,0.63,0.716074189,0.885714286,0.125944584,0.585365854,1
172,0,0.544358578,0.685714286,0.375314861,0.365853659,0
173,0,0.442349304,0.457142857,0.368597817,0.317073171,0
174,0,0.545285935,0.628571429,0.385390428,0.43902439,0
175,0,0.534930448,0.6,0.384047019,0.390243902,0
176,0,0.326584235,0.314285714,0.525776658,0.341463415,0
177,1,0.364914992,0.428571429,0.658942065,0.219512195,1
178,0,0.504945904,0.542857143,0.3697733,0.341463415,0
179,0.53,0.646367852,0.8,0.32527288,0.43902439,1
180,0,0.481607419,0.571428571,0.296557515,0.390243902,0
181,1,0.591962906,0.628571429,0.389420655,0.43902439,1
182,0,0.420401855,0.457142857,0.331989924,0.292682927,0
183,1,0.574343122,0.628571429,0.330982368,0.390243902,1
184,1,0.619474498,0.685714286,0.450881612,0.43902439,1
185,1,0.540803709,0.6,0.304617968,0.414634146,1
186,1,0.444822257,0.514285714,0.561376994,0.365853659,0
187,1,0.522411128,0.571428571,0.370948783,0.414634146,1
188,0,0.580680062,0.657142857,0.382031906,0.463414634,0
189,1,0.35301391,0.4,0.088664987,0.219512195,1
190,1,0.619629057,0.657142857,0.348278757,0.390243902,1
191,1,0.604482226,0.771428571,0.400839631,0.463414634,1
192,1,0.409582689,0.514285714,0.423509656,0.414634146,1
193,1,0.416074189,0.457142857,0.34643157,0.292682927,1
194,1,0.531530139,0.6,0.303106633,0.390243902,0
195,0,0.392581144,0.514285714,0.317212427,0.317073171,0
196,0,0.426738794,0.485714286,0.388077246,0.317073171,0
197,1,0.482225657,0.571428571,0.422670025,0.414634146,1
198,0,0.399690881,0.457142857,0.567758186,0.292682927,0
199,1,0.552086553,0.685714286,0.274391268,0.414634146,0
200,0,0.400463679,0.485714286,0.19177162,0.390243902,0
201,0,0.53431221,0.657142857,0.359865659,0.414634146,0
202,1,0.640185471,0.742857143,0.362552477,0.463414634,1
203,0,0.440185471,0.514285714,0.394626364,0.317073171,0
204,1,0.477279753,0.571428571,0.287489505,0.414634146,1
205,0.37,0.247140649,0.257142857,0.369437448,0.219512195,0
206,0,0.551313756,0.485714286,0.174475231,0.292682927,0
207,0,0.42194745,0.457142857,0.428211587,0.219512195,1
208,0,0.302782071,0.485714286,0.238287154,0.292682927,0
209,0,0.502318393,0.571428571,0.376154492,0.43902439,0
210,1,0.555177743,0.628571429,0.376154492,0.43902439,1
211,0,0.541421947,0.657142857,0.514357683,0.43902439,1
212,0,0.602627512,0.6,0.343744752,0.43902439,1
213,1,0.671097372,0.685714286,0.39395466,0.487804878,1
214,0,0.461978362,0.542857143,0.379345088,0.365853659,0
215,0,0.321174652,0.571428571,0.327623846,0.365853659,0
216,0,0.259041731,0.457142857,0.540890008,0.292682927,0
217,1,0.535239567,0.6,0.398656591,0.341463415,1
218,1,0.556568779,0.6,0.38572628,0.390243902,1
219,0,0.427202473,0.4,0.297900924,0.268292683,0
220,1,0.55935085,0.6,0.367758186,0.390243902,1
221,0,0.452550232,0.514285714,0.340050378,0.341463415,0
222,0,0.586707883,0.628571429,0.300587741,0.43902439,0
223,1,0.613137558,0.714285714,0.352141058,0.365853659,1
224,1,0.648068006,0.657142857,0.350125945,0.317073171,1
225,0,0.430757342,0.485714286,0.364735516,0.243902439,0
226,0,0.470015456,0.542857143,0.350797649,0.414634146,0
227,0,0.40942813,0.428571429,0.377497901,0.317073171,0
228,1,0.608037094,0.685714286,0.357178841,0.512195122,1
229,0,0.392426584,0.485714286,0.227875735,0.341463415,0
230,0,0.585625966,0.657142857,0.457598657,0.43902439,0
231,1,0.576352396,0.657142857,0.370445004,0.43902439,1
232,0,0.499536321,0.571428571,0.363392107,0.390243902,0
233,0,0.482225657,0.514285714,0.381192275,0.341463415,0
234,1,0.696136012,0.685714286,0.347439127,0.43902439,0
235,0,0.404018547,0.457142857,0.337531486,0.317073171,0
236,0,0.468315301,0.514285714,0.389252729,0.317073171,0
237,0,0.516692427,0.6,0.482787573,0.292682927,0
238,1,0.575888717,0.628571429,0.437615449,0.390243902,1
239,1,0.54698609,0.657142857,0.359193955,0.43902439,1
240,1,0.567078825,0.657142857,0.344584383,0.341463415,1
241,0,0.516074189,0.6,0.336020151,0.390243902,0
242,0,0.402627512,0.371428571,0.405373636,0.243902439,1
243,0,0.483616692,0.542857143,0.378505458,0.390243902,0
244,0,0.488871716,0.542857143,0.34038623,0.341463415,0
245,0,0.52797527,0.628571429,0.391435768,0.43902439,0
246,0,0.513137558,0.571428571,0.378169605,0.365853659,0
247,1,0.665996909,0.885714286,0.312174643,0.658536585,0
248,1,0.420401855,0.457142857,0.252392947,0.292682927,1
249,1,0.547140649,0.571428571,0.355835432,0.390243902,1
250,0,0.685162287,0.828571429,0.360369437,0.317073171,0
251,0,0.570015456,0.628571429,0.400167926,0.365853659,0
252,1,0.246367852,0.342857143,0.100755668,0.219512195,1
253,0,0.619319938,0.828571429,0.339714526,0.585365854,0
254,1,0.283307573,0.314285714,0.341393787,0.414634146,1
255,1,0.468933539,0.514285714,0.340050378,0.341463415,1
256,0,0.637094281,0.685714286,0.390260285,0.341463415,0
257,0,0.530757342,0.685714286,0.417968094,0.463414634,1
258,1,0.408346213,0.4,0.383039463,0.097560976,1
259,1,0.494899536,0.571428571,0.303610411,0.365853659,1
260,1,0.521483771,0.628571429,0.318555835,0.365853659,1
261,1,0.406800618,0.514285714,0.500587741,0.390243902,1
262,0,0.570942813,0.628571429,0.419983207,0.365853659,0
263,0,0.467078825,0.571428571,0.336523929,0.463414634,0
264,1,0.485625966,0.4,0.203862301,0.317073171,1
265,0,0.426275116,0.514285714,0.371620487,0.268292683,0
266,1,0.526893354,0.542857143,0.334676742,0.317073171,1
267,0,0.535857805,0.657142857,0.378673384,0.43902439,0
268,1,0.273570325,0.228571429,0.244332494,0.195121951,1
269,0,0.46862442,0.514285714,0.322418136,0.317073171,0
270,1,0.632148377,0.857142857,0.383375315,0.56097561,1
271,0,0.386089645,0.514285714,0.37279597,0.341463415,0
272,0,0.502782071,0.6,0.367926113,0.43902439,0
273,1,0.513292117,0.6,0.323257767,0.463414634,1
274,1,0.50015456,0.628571429,0.334508816,0.390243902,1
275,0.83,0.476816074,0.485714286,0.288664987,0.268292683,0
276,1,0.543122102,0.514285714,0.397145256,0.341463415,1
277,1,0.616383308,0.628571429,0.369941226,0.390243902,1
278,1,0.904327666,0.714285714,0.347271201,0.414634146,0
279,1,0.533693972,0.542857143,0.359865659,0.487804878,1
280,1,0.506955178,0.571428571,0.321074727,0.390243902,1
281,0,0.498918083,0.571428571,0.379009236,0.390243902,0
282,1,0.356877898,0.428571429,0.21125105,0.219512195,1
283,1,0.504945904,0.6,0.37061293,0.390243902,1
284,1,0.560432767,0.628571429,0.308648195,0.43902439,0
285,1,0.360896445,0.428571429,0.357010915,0.268292683,1
286,1,0.482843895,0.514285714,0.364231738,0.317073171,1
287,0,0.532921175,0.571428571,0.502267003,0.268292683,0
288,0,0.57202473,0.714285714,0.367422334,0.43902439,0
289,0,0.437248841,0.485714286,0.347942905,0.292682927,0
290,1,0.551313756,0.542857143,0.360033585,0.365853659,1
291,0,0.438021638,0.514285714,0.372292191,0.390243902,0
292,0,0.536476043,0.542857143,0.374139379,0.341463415,0
293,0,0.506491499,0.542857143,0.380352645,0.341463415,0
294,1,0.538176198,0.685714286,0.304450042,0.414634146,1
295,0.57,0.531530139,0.542857143,0.328631402,0.292682927,0
296,1,0.54992272,0.628571429,0.357514694,0.390243902,1
297,1,0.449304482,0.371428571,0.30193115,0.317073171,1
298,1,0.425502318,0.428571429,0.400839631,0.219512195,1
299,0,0.520247295,0.571428571,0.407052897,0.341463415,0
300,0,0.418238022,0.4,0.187069689,0.341463415,0
301,1,0.598763524,0.628571429,0.319731318,0.365853659,0
302,0,0.46862442,0.628571429,0.362384551,0.390243902,0
303,1,0.450850077,0.485714286,0.440806045,0.219512195,1
304,0,0.486707883,0.542857143,0.32611251,0.292682927,0
305,1,0.501081917,0.628571429,0.241813602,0.390243902,0
306,0,0.544822257,0.542857143,0.41511335,0.341463415,0
307,0,0.4812983,0.514285714,0.351973132,0.317073171,0
308,0,0.634003091,0.628571429,0.518052057,0.243902439,0
309,0.87,0.507727975,0.542857143,0.343240974,0.341463415,0
310,0,0.635239567,0.8,0.425356843,0.341463415,0
311,1,0.549149923,0.657142857,0.357850546,0.390243902,1
312,0,0.506646059,0.571428571,0.362048699,0.341463415,0
313,1,0.507882535,0.514285714,0.321746432,0.292682927,0
314,0,0.462751159,0.571428571,0.281947943,0.414634146,0
315,1,0.649149923,0.685714286,0.315701092,0.487804878,1
316,0.81,0.489180835,0.485714286,0.440470193,0.341463415,0
317,0.25,0.528438949,0.6,0.418639798,0.365853659,1
318,0,0.54049459,0.657142857,0.332325777,0.341463415,1
319,0.49,0.471097372,0.514285714,0.435096558,0.268292683,0
320,0,0.529366306,0.542857143,0.452057095,0.317073171,1
321,0,0.48748068,0.514285714,0.356675063,0.341463415,0
322,0,0.517619784,0.6,0.459949622,0.365853659,0
323,0.99,0.545131376,0.714285714,0.251721243,0.341463415,1
324,0,0.455641422,0.457142857,0.422670025,0.268292683,0
325,1,0.468469861,0.542857143,0.292695214,0.292682927,0
326,1,0.558268934,0.571428571,0.339714526,0.341463415,1
327,0.53,0.41576507,0.457142857,0.401847187,0.292682927,0
328,0,0.455641422,0.457142857,0.368094039,0.268292683,0
329,0,0.539258114,0.485714286,0.415449202,0.390243902,1
330,0.27,0.48114374,0.428571429,0.37968094,0.341463415,0
331,1,0.530911901,0.542857143,0.341729639,0.390243902,1
332,0,0.500309119,0.542857143,0.366918556,0.390243902,1
333,1,0.521483771,0.571428571,0.341057935,0.341463415,0
334,1,0.518083462,0.571428571,0.353316541,0.390243902,1
335,1,0.526429675,0.685714286,0.31015953,0.463414634,1
336,0.51,0.533230294,0.571428571,0.327455919,0.292682927,1
337,0,0.517774343,0.571428571,0.34559194,0.390243902,0
338,0.45,0.540958269,0.628571429,0.358858102,0.390243902,0
339,0.37,0.516228748,0.628571429,0.334172964,0.390243902,1
340,0.07,0.538330757,0.6,0.379848866,0.341463415,1
341,1,0.552395672,0.571428571,0.295549958,0.341463415,0
342,0.29,0.540958269,0.571428571,0.388581024,0.341463415,1
343,0,0.671715611,0.628571429,0.395298069,0.463414634,0
344,0.83,0.522720247,0.571428571,0.338371117,0.390243902,1
345,1,0.478979907,0.428571429,0.330646516,0.243902439,0
346,0.61,0.57805255,0.685714286,0.436104114,0.463414634,0
347,0.31,0.186553323,0.085714286,0.310495382,0.097560976,0
348,1,0.451313756,0.4,0.392443325,0.243902439,0
349,0.49,0.517619784,0.542857143,0.404198153,0.365853659,0
350,1,0.608500773,0.771428571,0.393618808,0.536585366,1
351,1,0.491808346,0.457142857,0.315365239,0.268292683,1
352,0,0.473415765,0.428571429,0.389084803,0.292682927,0
353,0,0.489026275,0.514285714,0.337531486,0.292682927,0
354,0.27,0.501236476,0.6,0.34038623,0.43902439,1
355,0.41,0.581761978,0.628571429,0.294206549,0.365853659,1
356,1,0.57511592,0.714285714,0.384047019,0.512195122,1
357,0,0.456414219,0.428571429,0.312510495,0.243902439,0
358,1,0.505409583,0.457142857,0.329974811,0.268292683,1
359,1,0.541731066,0.6,0.348950462,0.219512195,1
360,0,0.476970634,0.571428571,0.405205709,0.365853659,0
361,1,0.668315301,0.628571429,0.348446683,0.585365854,1
362,1,0.574034003,0.742857143,0.358186398,0.512195122,1
363,0,0.425502318,0.657142857,0.318891688,0.536585366,0
364,0,0.518392581,0.514285714,0.407220823,0.365853659,0
365,0,0.461978362,0.428571429,0.343576826,0.487804878,0
366,1,0.63446677,0.771428571,0.311670865,0.512195122,1
367,0,0.499072643,0.428571429,0.248194794,0.146341463,0
368,1,0.548222566,0.714285714,0.288832914,0.56097561,1
369,1,0.520865533,0.685714286,0.292527288,0.390243902,1
370,0,0.555641422,0.6,0.350797649,0.317073171,0
371,0,0.680680062,0.8,0.164063812,0.56097561,0
372,1,0.599072643,0.685714286,0.415785055,0.585365854,1
373,0,0.4,0.457142857,0.302770781,0.243902439,0
374,0,0.458114374,0.457142857,0.383879093,0.219512195,0
375,1,0.515146832,0.542857143,0.170277078,0.292682927,1
376,0,0.395363215,0.457142857,0.380688497,0.292682927,0
377,0,0.414064915,0.428571429,0.229890848,0.43902439,0
378,0,0.452859351,0.628571429,0.210747271,0.414634146,0
379,0,0.51885626,0.485714286,0.426532326,0.024390244,0
380,1,0.470633694,0.6,0.333501259,0.365853659,1
381,0,0.464296754,0.457142857,0.369269521,0.268292683,0
382,1,0.849304482,1,0.290848027,0.390243902,1
383,0,0.513446677,0.571428571,0.468178002,0.317073171,0
384,1,0.643122102,0.771428571,0.347439127,0.536585366,1
385,1,0.597372488,0.771428571,0.412930311,0.536585366,1
386,0,0.508500773,0.571428571,0.371956339,0.390243902,0
387,0,0.489489954,0.371428571,0.342065491,0.170731707,0
388,0,0.556568779,0.6,0.268010076,0.365853659,0
389,0,0.520710974,0.542857143,0.375482788,0.390243902,0
390,0.73,0.435548686,0.457142857,0.254575987,0.146341463,1
391,1,0.779598145,0.857142857,0.36759026,0.487804878,1
392,0,0.585625966,0.542857143,0.727120067,0.219512195,0
393,1,0.416074189,0.628571429,0.269857263,0.341463415,1
394,1,0.437712519,0.342857143,0.308312343,0.170731707,1
395,1,0.523029366,0.571428571,0.026532326,0.243902439,1
396,1,0.540340031,0.685714286,0.361209068,0.365853659,1
397,0,0.483616692,0.485714286,0.371452561,0.243902439,0
398,1,0.749613601,0.914285714,0.320738875,0.56097561,1
399,1,0.525347759,0.657142857,0.289504618,0.463414634,1
400,1,0.704018547,0.885714286,0.500755668,0.414634146,1
401,1,0.48748068,0.4,0.376154492,0.292682927,1
402,0,0.535239567,0.714285714,0.464315701,0.317073171,0
403,0,0.64698609,0.571428571,0.385894207,0.317073171,0
404,1,0.705873261,0.771428571,0.366918556,0.390243902,1
405,0,0.434003091,0.285714286,0.414777498,0.048780488,0
406,0,0.499227202,0.571428571,0.379345088,0.463414634,0
407,0,0.500618238,0.6,0.315197313,0.512195122,0
408,1,0.589953632,0.6,0.384718724,0.268292683,1
409,0,0.550386399,0.6,0.334172964,0.390243902,0
410,1,0.428284389,0.6,0.314861461,0.292682927,1
411,1,0.435239567,0.514285714,0.528967254,0.219512195,1
412,0,0.597836167,0.628571429,0.386901763,0.219512195,0
413,0,0.665842349,0.685714286,0.285642317,0.390243902,0
414,0,0.550231839,0.514285714,0.381024349,0.463414634,0
415,1,0.656414219,0.771428571,0.601007557,0.463414634,1
416,1,0.517465224,0.514285714,0.393618808,0.414634146,1
417,0,0.421329212,0.514285714,0.349118388,0.243902439,0
418,0,0.60309119,0.571428571,0.282451721,0.390243902,1
419,1,0.665842349,0.742857143,0.42418136,0.536585366,1
420,1,0.605100464,0.6,0.381192275,0.390243902,1
421,0,0.48438949,0.571428571,0.317884131,0.365853659,0
422,1,0.610355487,0.657142857,0.397649034,0.390243902,1
423,1,0.564142195,0.628571429,0.406884971,0.390243902,1
424,0,0.461360124,0.542857143,0.284130982,0.365853659,0
425,1,0.565378671,0.571428571,0.352812762,0.341463415,1
426,1,0.586398764,0.571428571,0.396809404,0.365853659,1
427,0,0.467697063,0.514285714,0.335180521,0.317073171,0
428,1,0.572797527,0.628571429,0.403862301,0.390243902,1
429,1,0.578979907,0.628571429,0.380688497,0.43902439,1
430,1,0.553786708,0.6,0.347607053,0.414634146,1
431,0,0.436012365,0.542857143,0.265323258,0.317073171,0
432,0,0.496599691,0.6,0.309319899,0.365853659,0
433,0,0.462751159,0.571428571,0.2829555,0.365853659,0
