Subj.Trial,A,B,C,D,E,Rating
0,331,186,78,653,597,0
1,330,299,318,655,657,0
2,719,439,497,504,612,1
3,718,625,698,405,706,1
4,717,494,443,547,369,1
5,329,28,5,118,2,0
6,716,239,83,666,84,1
7,328,40,12,67,11,0
8,327,37,6,237,6,0
9,326,209,471,162,156,0
10,325,70,30,132,26,0
11,324,382,225,62,257,0
12,323,14,3,20,9,0
13,715,703,704,275,696,1
14,322,137,74,467,400,0
15,714,673,658,292,702,1
16,713,145,75,585,23,1
17,321,133,235,233,19,0
18,712,582,664,412,594,1
19,320,116,70,134,118,0
20,711,68,46,291,59,1
21,710,125,72,369,117,1
22,319,95,36,449,56,0
23,709,295,408,492,153,1
24,708,341,414,228,638,1
25,707,704,677,77,593,1
26,706,232,152,163,137,1
27,705,184,150,83,72,1
28,318,257,308,89,217,0
29,317,566,614,461,627,0
30,704,276,474,45,224,1
31,703,297,215,230,187,1
32,702,269,210,91,495,1
33,701,518,606,157,689,1
34,316,65,15,74,13,0
35,700,88,104,608,95,1
36,699,532,451,294,516,1
37,698,324,329,305,216,1
38,336,124,177,588,186,0
39,697,519,568,248,395,1
40,696,33,19,678,228,1
41,315,152,76,269,66,0
42,695,668,689,69,692,1
43,314,253,257,114,686,0
44,313,219,201,462,104,0
45,694,47,13,529,311,1
46,312,430,555,650,715,0
47,311,30,23,232,0,0
48,310,34,28,151,674,0
49,693,595,460,351,660,1
50,692,647,627,196,585,1
51,309,25,27,424,111,0
52,691,642,624,349,664,1
53,690,284,314,288,508,1
54,308,89,35,531,27,0
55,307,289,406,200,607,0
56,689,520,569,522,483,1
57,306,102,107,479,167,0
58,305,238,82,116,547,0
59,304,573,578,209,642,0
60,303,303,321,242,355,0
61,343,293,316,180,215,1
62,302,262,86,202,116,0
63,383,265,312,141,214,0
64,688,415,431,315,606,1
65,687,506,567,290,482,1
66,344,396,489,578,611,0
67,301,169,148,314,491,0
68,686,375,421,398,299,1
69,685,225,401,73,368,0
70,684,447,600,214,537,0
71,349,280,404,598,367,0
72,683,589,680,190,652,0
73,300,425,493,613,525,1
74,299,234,205,321,256,0
75,682,438,364,238,354,1
76,298,254,307,434,438,0
77,297,171,191,140,103,0
78,362,360,345,448,437,0
79,296,569,649,670,540,0
80,681,581,663,393,631,1
81,680,179,548,240,578,1
82,295,264,311,303,353,0
83,679,550,610,177,536,1
84,678,412,491,446,475,1
85,294,148,236,95,201,0
86,293,147,142,437,173,0
87,292,211,247,245,200,0
88,291,298,317,388,213,0
89,677,395,427,198,298,1
90,290,322,158,401,172,0
91,676,473,560,149,481,1
92,675,188,469,396,392,0
93,674,356,416,365,515,1
94,338,383,423,562,457,1
95,348,486,374,641,352,0
96,378,378,350,530,351,0
97,673,543,517,311,391,1
98,672,608,666,453,543,1
99,289,267,403,413,514,1
100,288,575,650,645,629,1
101,361,445,498,174,390,1
102,671,553,646,194,592,1
103,287,213,249,277,548,0
104,286,479,504,626,474,0
105,670,483,562,154,577,1
106,285,173,240,363,276,0
107,669,576,615,262,584,1
108,284,172,114,586,166,0
109,283,330,331,298,436,1
